"Ảnh","Mã sản phẩm","Ngày cập nhật","Chủng loại","Lưu ý nhận sx 1c / sx hết tồn","","Tên sản phẩm","Nguyên Giá (bắt buộc)","Giá TMĐT","Giá TMĐT làm tròn","Giá KM","Mùa vụ","Tồn","Màu sắc","SIZE SỐ","Chất liệu","Mô tả sản phẩm","Hàng tặng","","BST mới","Biển","Nghệ sĩ","","","","","","","","","","","","","","","","","","","","","Sale CH",""
"","MRKVX6371","06/08/2026","Váy xoè","Không cần cọc","","Zoalinea","990.000","","","","Xuân hè 2026","7","TÍM, HỒNG","S,M,L","Sheer fabric","VÁY LIỀN 2 DÂY 2 LỚP, CÓ KÈM QUẦN BẢO HỘ, KHÓA SAU
Độ co giãn: KHÔNG","Quần bảo hộ","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRVVX6408","06/08/2026","Váy xoè","Không cần cọc","","Zoélia","890.000","","","","Xuân hè 2026","0","HỒNG","S,M,L","Crinkle Chiffon","VÁY LIỀN 2 DÂY 2 LỚP, CÓ KÈM QUẦN BẢO HỘ, KHÓA SAU
Độ co giãn: KHÔNG","Quần bảo hộ","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSQ6040","06/08/2026","Set quần","Không cần cọc","","Zoise","1.650.000","","","","Xuân hè 2026","0","NÂU NUDE","S,M,L","Crinkle Chiffon","SET ÁO + QUẦN , 2 LỚP, QUẦN CẠP CHUN, ÁO KHÓA ĐỒNG TRƯỚC","","","mới","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRAK5380","06/08/2026","Set quần","Không cần cọc","","Minette","2.040.000","1.500.000","1.500.000","","Xuân hè 2026","21","ĐỎ","S, M, L","DENIM XƯỚC VÂN","KHÓA TRƯỚC
Độ co giãn: K CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","50%",""
"","MRKSQ6418","07/08/2026","Set quần","Không nhận sx 1c","","Zivora","1.150.000","","","","Xuân hè 2026","1","HỒNG","S, M, L","Fluffy fiber","SET ÁO + QUẦN 2 LỚP, QUẦN CẠP CHUN
Độ co giãn: K CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"Không thấy ảnh","MRKVX6483","06/08/2026","Váy xoè","Không cần cọc","","Zivana","","","","","Xuân hè 2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6424","07/08/2026","Váy xoè","Không cần cọc","","Zivina","990.000","","","","Xuân hè 2026","0","HỒNG","S, M, L","REN HOA+ Chiffon","VÁY 2 DÂY , CHUI ĐẦU, 3 LỚP, CÓ KÈM QUẦN BẢO HỘ","Quần bảo hộ","","mới","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6383","07/08/2026","Váy xoè","Không cần cọc","","Zorinae","1.590.000","","","","Xuân hè 2026","0","HỒNG","S, M, L","LƯỚI + VON LY","VÁY 2 DÂY , CHUI ĐẦU, 2 LỚP, CÓ KÈM QUẦN BẢO HỘ","Quần bảo hộ","","mới","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6423","07/08/2026","Váy xoè","Không cần cọc","","Ziviane","890.000","","","","Xuân hè 2026","0","KEM","S, M, L","REN HOA+ Chiffon","VÁY 2 DÂY , KHÓA SƯỜN, CÓ KÈM QUẦN BẢO HỘ","Quần bảo hộ","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
